,Stocks,Bonds,Gold
2016-03-19,1743233792.0,1313032.0,188814.0
2016-03-20,1743233792.0,1313032.0,188814.0
2016-03-21,535593472.0,1737583.0,250666.0
2016-03-22,555537728.0,2315456.0,279513.0
2016-03-23,542149248.0,1329672.0,279513.0
2016-03-24,600157248.0,1886915.0,241364.0
2016-03-25,600157248.0,1886915.0,241364.0
2016-03-26,600157248.0,1886915.0,241364.0
2016-03-27,600157248.0,1886915.0,241364.0
2016-03-28,460633984.0,2551634.0,241364.0
2016-03-29,571904000.0,1983293.0,400273.0
2016-03-30,511572096.0,1749086.0,238962.0
2016-03-31,636649600.0,3270851.0,127729.0
2016-04-01,655072832.0,3253098.0,214664.0
2016-04-02,655072832.0,3253098.0,214664.0
2016-04-03,655072832.0,3253098.0,214664.0
2016-04-04,532744352.0,1560647.0,98092.0
2016-04-05,666243840.0,2309461.0,166263.0
2016-04-06,581334912.0,1969793.0,143624.0
2016-04-07,618328704.0,1647684.0,202442.0
2016-04-08,534874816.0,1506643.0,144116.0
2016-04-09,534874816.0,1506643.0,144116.0
2016-04-10,534874816.0,1506643.0,144116.0
2016-04-11,586585536.0,1304446.0,179663.0
2016-04-12,590880256.0,2566147.0,169882.0
2016-04-13,631117120.0,1879794.0,167611.0
2016-04-14,563171264.0,1737844.0,215645.0
2016-04-15,693621632.0,1269087.0,127382.0
2016-04-16,693621632.0,1269087.0,127382.0
2016-04-17,693621632.0,1269087.0,127382.0
2016-04-18,548081408.0,1499389.0,158251.0
2016-04-19,590645248.0,1250401.0,224366.0
2016-04-20,605036480.0,2566719.0,177208.0
2016-04-21,652614464.0,1809404.0,283852.0
2016-04-22,706001536.0,5496717.0,220466.0
2016-04-23,706001536.0,5496717.0,220466.0
2016-04-24,706001536.0,5496717.0,220466.0
2016-04-25,544817664.0,2668475.0,128365.0
2016-04-26,600619072.0,1815538.0,157467.0
2016-04-27,674136320.0,1564932.0,181620.0
2016-04-28,689625600.0,1747027.0,241366.0
2016-04-29,887373760.0,3069895.0,300076.0
2016-04-30,887373760.0,3069895.0,300076.0
2016-05-01,887373760.0,3069895.0,300076.0
2016-05-02,604159488.0,2620706.0,231089.0
2016-05-03,635573824.0,1893490.0,248572.0
2016-05-04,627049792.0,3076260.0,238899.0
2016-05-05,596503936.0,1362702.0,191764.0
2016-05-06,588466688.0,1630850.0,294315.0
2016-05-07,588466688.0,1630850.0,294315.0
2016-05-08,588466688.0,1630850.0,294315.0
2016-05-09,557478400.0,1472654.0,261928.0
2016-05-10,520496992.0,2026158.0,204834.0
2016-05-11,580146240.0,2553480.0,328026.0
2016-05-12,588764672.0,1773020.0,264690.0
2016-05-13,575411968.0,1498617.0,196217.0
2016-05-14,575411968.0,1498617.0,196217.0
2016-05-15,575411968.0,1498617.0,196217.0
2016-05-16,567350592.0,3358863.0,226452.0
2016-05-17,686714880.0,1861609.0,248303.0
2016-05-18,558238592.0,1808011.0,275252.0
2016-05-19,590037248.0,1570022.0,336038.0
2016-05-20,697872768.0,2191997.0,288904.0
2016-05-21,697872768.0,2191997.0,288904.0
2016-05-22,697872768.0,2191997.0,288904.0
2016-05-23,524844096.0,1405669.0,314804.0
2016-05-24,557635712.0,2849359.0,466683.0
2016-05-25,561713408.0,1581648.0,366983.0
2016-05-26,474150688.0,1685596.0,366983.0
2016-05-27,508526976.0,2193738.0,363664.0
2016-05-28,508526976.0,2193738.0,363664.0
2016-05-29,508526976.0,2193738.0,363664.0
2016-05-30,,,274676.0
2016-05-31,904460864.0,1460030.0,256501.0
2016-06-01,556871680.0,1739740.0,171528.0
2016-06-02,628071040.0,1608945.0,120001.0
2016-06-03,568055936.0,2097707.0,127992.0
2016-06-04,568055936.0,2097707.0,127992.0
2016-06-05,568055936.0,2097707.0,127992.0
2016-06-06,533129792.0,1715672.0,173489.0
2016-06-07,536135584.0,1373283.0,129779.0
2016-06-08,496883392.0,1471031.0,198201.0
2016-06-09,482667776.0,1724371.0,170901.0
2016-06-10,552233728.0,1685933.0,178417.0
2016-06-11,552233728.0,1685933.0,178417.0
2016-06-12,552233728.0,1685933.0,178417.0
2016-06-13,564069248.0,1799649.0,213014.0
2016-06-14,576817024.0,1631280.0,202310.0
2016-06-15,575947584.0,1439573.0,215173.0
2016-06-16,552032576.0,1189647.0,390981.0
2016-06-17,1301417344.0,1991521.0,236283.0
2016-06-18,1301417344.0,1991521.0,236283.0
2016-06-19,1301417344.0,1991521.0,236283.0
2016-06-20,598191232.0,2512390.0,211454.0
2016-06-21,537166016.0,1910545.0,225880.0
2016-06-22,519444160.0,1431624.0,139700.0
2016-06-23,525406336.0,1233728.0,164181.0
2016-06-24,1403948800.0,2172946.0,314275.0
2016-06-25,1403948800.0,2172946.0,314275.0
2016-06-26,1403948800.0,2172946.0,314275.0
2016-06-27,882723904.0,2639310.0,278359.0
2016-06-28,719004608.0,3180542.0,227354.0
2016-06-29,691908608.0,2596132.0,192801.0
2016-06-30,892900672.0,3598542.0,192801.0
2016-07-01,551760256.0,2704123.0,211964.0
2016-07-02,551760256.0,2704123.0,211964.0
2016-07-03,551760256.0,2704123.0,211964.0
2016-07-04,,,248583.0
2016-07-05,650726976.0,3411433.0,393410.0
2016-07-06,649664896.0,2068806.0,261459.0
2016-07-07,546443968.0,2171009.0,239828.0
2016-07-08,597253888.0,1867145.0,338378.0
2016-07-09,597253888.0,1867145.0,338378.0
2016-07-10,597253888.0,1867145.0,338378.0
